link,price,beds,baths,square footage,property type,property address,Latitude,Longitude,description,Heating,Garage,Parking,Garden,Fireplace,Balcony,Pool,Grocery,Restaurants,Shopping,Cafes,Walking,Cycling,Transit,Driving,City
https://www.remax.ca/bc/new-westminster-real-estate/213-230-mowat-street-wp_idm00000671-r3019811-lst,554900,2,2,815.0,condo,"213-230 MOWAT STREET, NEW WESTMINSTER, BC V3M 4B2",49.2040518,-122.9223563,"Heating: Baseboard, Hot Water, Wood
Fireplace: Yes
Garage: Yes
Parking Features: Garage Under Building, Lane Access, Rear Access
Fireplace Features: Insert, Wood Burning
Exterior Features: Balcony
",Baseboard,Yes,Yes,No,Yes,Yes,No,6.5,9.4,7.3,9.5,7.7,5.2,6.5,9.8,BURNABY
https://www.remax.ca/bc/vancouver-real-estate/310-429-w-2nd-avenue-wp_idm00000671-r3019808-lst,1099900,1,1,830.0,condo,"310-429 W 2ND AVENUE, VANCOUVER, BC V5Y 1E3",49.2674473,-123.1136777,"Heating: Baseboard, Electric
Garage: Yes
Parking Features: Underground, Lane Access, Concrete
Exterior Features: Garden, Balcony
",Baseboard,Yes,Yes,Yes,No,Yes,No,5.1,9.7,8.2,6.7,7.1,9.9,7.7,9.1,VANCOUVER
https://www.remax.ca/bc/vancouver-real-estate/1-878-e-37th-avenue-wp_idm00000671-r3019801-lst,1738000,3,3,1588.0,duplex,"1-878 E 37TH AVENUE, VANCOUVER, BC V5W 1G2",49.2363958,-123.0868292,"Heating: Heat Pump
Fireplace: Yes
Basement: Crawl Space
Acreage: 0.09
Garage: Yes
Parking Features: Garage Single
Fireplace Features: Electric
Exterior Features: Balcony
",Heat Pump,Yes,Yes,No,Yes,Yes,No,6.5,6.3,9.2,8.7,9.8,8.2,8.1,3.7,VANCOUVER
https://www.remax.ca/bc/vancouver-real-estate/2-878-e-37th-avenue-wp_idm00000671-r3019798-lst,1788000,3,3,1588.0,duplex,"2-878 E 37TH AVENUE, VANCOUVER, BC V5W 1G2",49.2363958,-123.0868292,"Heating: Heat Pump
Fireplace: Yes
Basement: Crawl Space
Acreage: 0.09
Garage: Yes
Parking Features: Garage Single
Fireplace Features: Electric
Exterior Features: Balcony
",Heat Pump,Yes,Yes,No,Yes,Yes,No,9.5,7.3,8.9,6.5,6.3,8.6,5.8,8.4,VANCOUVER
https://www.remax.ca/bc/burnaby-real-estate/1905-9541-erickson-drive-wp_idm00000671-r3019794-lst,519900,1,1,753.0,condo,"1905-9541 ERICKSON DRIVE, BURNABY, BC V3J 7N8",49.2529477,-122.8999085,"Heating: Baseboard, Electric
Fireplace: Yes
Garage: Yes
Parking Features: Underground, Front Access
Fireplace Features: Electric
Exterior Features: Balcony
",Baseboard,Yes,Yes,No,Yes,Yes,No,6.0,6.2,6.8,5.3,6.6,7.1,5.9,6.7,BURNABY
https://www.remax.ca/luxury/bc/new-westminster-real-estate/614-fourth-avenue-wp_idm00000671-r3019788-lst,2349000,7,7,4082.0,house,"614 FOURTH AVENUE, NEW WESTMINSTER, BC V3M 1S4",49.2096036,-122.917312,"Heating: Forced Air, Heat Pump, Natural Gas
Fireplace: Yes
Basement: Finished
Acreage: 0.10
Garage: Yes
Parking Features: Garage Single, Front Access, Side Access, Garage Door Opener
Fireplace Features: Gas
Exterior Features: Private Yard
",Forced Air,Yes,Yes,No,Yes,No,No,6.4,7.2,7.5,9.0,7.0,5.5,7.4,6.0,BURNABY
https://www.remax.ca/bc/vancouver-real-estate/1923-938-smithe-street-wp_idm00000671-r3019784-lst,599900,1,1,608.0,condo,"1923-938 SMITHE STREET, VANCOUVER, BC V6Z 3H8",49.2816805,-123.1241122,"Heating: Baseboard, Electric
Garage: Yes
Parking Features: Underground, Side Access
Exterior Features: Garden, Playground, Balcony
",Baseboard,Yes,Yes,Yes,No,Yes,No,6.6,5.9,9.7,6.4,5.7,4.7,9.5,6.4,VANCOUVER
https://www.remax.ca/bc/north-vancouver-real-estate/701-121-w-16th-street-wp_idm00000671-r3019779-lst,899000,2,2,1030.0,condo,"701-121 W 16TH STREET, NORTH VANCOUVER, BC V7M 1T3",49.3228615,-123.0736885,"Heating: Baseboard, Natural Gas
Fireplace: Yes
Garage: Yes
Parking Features: Underground, Side Access, Concrete
Fireplace Features: Insert, Gas
Exterior Features: Garden, Balcony
",Baseboard,Yes,Yes,Yes,Yes,Yes,No,7.7,6.0,5.3,5.5,6.4,9.3,6.2,7.9,NORTH VANCOUVER
https://www.remax.ca/luxury/bc/vancouver-real-estate/1501-845-chilco-street-wp_idm00000671-r3019778-lst,3299000,4,4,2041.0,condo,"1501-845 CHILCO STREET, VANCOUVER, BC V6G 2R2",49.2929706,-123.1394084,"Heating: Electric, Radiant
Fireplace: Yes
Garage: Yes
Parking Features: Underground
Fireplace Features: Electric
Exterior Features: Garden, Balcony
",Electric,Yes,Yes,Yes,Yes,Yes,No,5.3,8.5,5.5,6.1,5.3,6.8,8.1,4.4,VANCOUVER
https://www.remax.ca/bc/north-vancouver-real-estate/4-265-e-8th-street-wp_idm00000671-r3019775-lst,1619000,3,3,1822.0,townhouse,"4-265 E 8TH STREET, NORTH VANCOUVER, BC V7L 1Y9",49.3153911,-123.067135,"Heating: Baseboard, Electric, Heat Pump
Fireplace: Yes
Garage: Yes
Parking Features: Garage Single, Lane Access
Fireplace Features: Electric
",Baseboard,Yes,Yes,No,Yes,No,No,5.8,7.5,5.0,10.0,5.7,5.7,7.7,6.2,NORTH VANCOUVER
